ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
51,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,252,2:55.69,,3,,6,原田由美子,,セ・慶應日吉,46.17,,,,,,,,,2:18.66,2:07.60,2:00.75,1/4
52,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,252,2:55.69,,4,,6,森谷登志江,,セ・慶應日吉,37.96,,,,,,,,,2:18.66,2:07.60,2:00.75,1/4
53,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:04.13,,1,,7,黒川慶子,,セ・上池袋,48.94,,,,,,,,,2:18.66,2:07.60,2:00.75,1/5
54,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:04.13,,2,,7,古旗美鈴,,セ・上池袋,46.33,,,,,,,,,2:18.66,2:07.60,2:00.75,1/5
55,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:04.13,,3,,7,上松弘子,,セ・上池袋,47.92,,,,,,,,,2:18.66,2:07.60,2:00.75,1/5
56,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:04.13,,4,,7,窪田久恵,,セ・上池袋,40.94,,,,,,,,,2:18.66,2:07.60,2:00.75,1/5
57,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,248,3:13.00,,1,,8,酒井貴代,,セ・大森,39.28,,,,,,,,,2:18.66,2:07.60,2:00.75,2/1
58,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,248,3:13.00,,2,,8,池田真理子,,セ・大森,52.78,,,,,,,,,2:18.66,2:07.60,2:00.75,2/1
59,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,248,3:13.00,,3,,8,中島初美,,セ・大森,51.29,,,,,,,,,2:18.66,2:07.60,2:00.75,2/1
60,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,248,3:13.00,,4,,8,佐々木政子,,セ・大森,49.65,,,,,,,,,2:18.66,2:07.60,2:00.75,2/1
61,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:23.24,,1,,9,于亜芝,,セ・南千住,54.50,,,,,,,,,2:18.66,2:07.60,2:00.75,1/9
62,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:23.24,,2,,9,大手佳江,,セ・南千住,54.46,,,,,,,,,2:18.66,2:07.60,2:00.75,1/9
63,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:23.24,,3,,9,原田早苗,,セ・南千住,56.18,,,,,,,,,2:18.66,2:07.60,2:00.75,1/9
64,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,267,3:23.24,,4,,9,町田麻里,,セ・南千住,38.10,,,,,,,,,2:18.66,2:07.60,2:00.75,1/9
65,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,200,2:14.79,,1,,1,小山知子,,セ・市ヶ尾,33.08,,,,,,,,,2:09.81,1:58.55,1:54.10,3/4
66,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,200,2:14.79,,2,,1,高橋麻子,,セ・市ヶ尾,34.51,,,,,,,,,2:09.81,1:58.55,1:54.10,3/4
67,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,200,2:14.79,,3,,1,白須靖子,,セ・市ヶ尾,37.22,,,,,,,,,2:09.81,1:58.55,1:54.10,3/4
68,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,200,2:14.79,,4,,1,池田百合子,,セ・市ヶ尾,29.98,,,,,,,,,2:09.81,1:58.55,1:54.10,3/4
69,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,221,2:24.59,,1,,2,石原なおみ,,セ・阿佐谷,35.77,,,,,,,,,2:09.81,1:58.55,1:54.10,3/9
70,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,221,2:24.59,,2,,2,棚網恵理,,セ・阿佐谷,35.29,,,,,,,,,2:09.81,1:58.55,1:54.10,3/9
71,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,221,2:24.59,,3,,2,野島正代,,セ・阿佐谷,38.32,,,,,,,,,2:09.81,1:58.55,1:54.10,3/9
72,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,221,2:24.59,,4,,2,小野真佐子,,セ・阿佐谷,35.21,,,,,,,,,2:09.81,1:58.55,1:54.10,3/9
73,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,202,2:37.21,,1,,3,RacaruGabriela,,セ・慶應日吉,38.88,,,,,,,,,2:09.81,1:58.55,1:54.10,2/3
74,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,202,2:37.21,,2,,3,高見沢ゆみ子,,セ・慶應日吉,40.02,,,,,,,,,2:09.81,1:58.55,1:54.10,2/3
75,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,202,2:37.21,,3,,3,鈴木夏実,,セ・慶應日吉,42.81,,,,,,,,,2:09.81,1:58.55,1:54.10,2/3
76,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,202,2:37.21,,4,,3,福本麻美,,セ・慶應日吉,35.50,,,,,,,,,2:09.81,1:58.55,1:54.10,2/3
77,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,236,2:47.41,,1,,4,中山翠,,ザバス川崎,39.05,,,,,,,,,2:09.81,1:58.55,1:54.10,2/10
78,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,236,2:47.41,,2,,4,伊藤春美,,ザバス川崎,45.06,,,,,,,,,2:09.81,1:58.55,1:54.10,2/10
79,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,236,2:47.41,,3,,4,齊藤たか子,,ザバス川崎,43.78,,,,,,,,,2:09.81,1:58.55,1:54.10,2/10
80,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,200～239歳,236,2:47.41,,4,,4,川久保ちづる,,ザバス川崎,39.52,,,,,,,,,2:09.81,1:58.55,1:54.10,2/10
81,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,199,2:15.14,,1,,1,羽田文,,セ・成城,33.43,,,,,,,,,2:05.08,1:54.99,1:48.44,3/7
82,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,199,2:15.14,,2,,1,森直子,,セ・成城,34.91,,,,,,,,,2:05.08,1:54.99,1:48.44,3/7
83,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,199,2:15.14,,3,,1,佐藤洋子,,セ・成城,36.26,,,,,,,,,2:05.08,1:54.99,1:48.44,3/7
84,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,199,2:15.14,,4,,1,佐々木彩,,セ・成城,30.54,,,,,,,,,2:05.08,1:54.99,1:48.44,3/7
85,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,192,2:22.32,,1,,2,前田由希映,,セ・二俣川,36.52,,,,,,,,,2:05.08,1:54.99,1:48.44,3/8
86,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,192,2:22.32,,2,,2,松川律子,,セ・二俣川,35.48,,,,,,,,,2:05.08,1:54.99,1:48.44,3/8
87,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,192,2:22.32,,3,,2,吉池奈々,,セ・二俣川,35.97,,,,,,,,,2:05.08,1:54.99,1:48.44,3/8
88,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,192,2:22.32,,4,,2,草野茜,,セ・二俣川,34.35,,,,,,,,,2:05.08,1:54.99,1:48.44,3/8
89,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,179,2:29.78,,1,,3,萩原ゆりか,,セ・天王洲,36.27,,,,,,,,,2:05.08,1:54.99,1:48.44,2/7
90,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,179,2:29.78,,2,,3,森内裕子,,セ・天王洲,41.53,,,,,,,,,2:05.08,1:54.99,1:48.44,2/7
91,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,179,2:29.78,,3,,3,中辻澄美,,セ・天王洲,38.89,,,,,,,,,2:05.08,1:54.99,1:48.44,2/7
92,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,179,2:29.78,,4,,3,四井美穂,,セ・天王洲,33.09,,,,,,,,,2:05.08,1:54.99,1:48.44,2/7
93,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,165,2:38.82,,1,,4,福田ユリヤ,,セ・南青山,42.48,,,,,,,,,2:05.08,1:54.99,1:48.44,3/10
94,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,165,2:38.82,,2,,4,山崎美南子,,セ・南青山,48.28,,,,,,,,,2:05.08,1:54.99,1:48.44,3/10
95,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,165,2:38.82,,3,,4,皆川すみれ,,セ・南青山,34.26,,,,,,,,,2:05.08,1:54.99,1:48.44,3/10
96,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,165,2:38.82,,4,,4,二宮若葉,,セ・南青山,33.80,,,,,,,,,2:05.08,1:54.99,1:48.44,3/10
97,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,176,2:43.32,,1,,5,岡澤志織,,セ・茂原,30.72,,,,,,,,,2:05.08,1:54.99,1:48.44,2/6
98,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,176,2:43.32,,2,,5,宮川ひとみ,,セ・茂原,45.38,,,,,,,,,2:05.08,1:54.99,1:48.44,2/6
99,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,176,2:43.32,,3,,5,齋藤準子,,セ・茂原,51.59,,,,,,,,,2:05.08,1:54.99,1:48.44,2/6
100,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,160～199歳,176,2:43.32,,4,,5,岡澤美咲,,セ・茂原,35.63,,,,,,,,,2:05.08,1:54.99,1:48.44,2/6
101,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,152,2:17.20,,1,,1,中村可奈子,,セ・おおたか,34.01,,,,,,,,,2:00.42,1:50.35,1:49.03,3/3
102,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,152,2:17.20,,2,,1,高橋未沙,,セ・おおたか,37.45,,,,,,,,,2:00.42,1:50.35,1:49.03,3/3
103,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,152,2:17.20,,3,,1,柳有美子,,セ・おおたか,34.10,,,,,,,,,2:00.42,1:50.35,1:49.03,3/3
104,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,152,2:17.20,,4,,1,嶋田菜々子,,セ・おおたか,31.64,,,,,,,,,2:00.42,1:50.35,1:49.03,3/3
105,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,155,2:19.94,,1,,2,藤本淑恵,,セ・平塚,36.15,,,,,,,,,2:00.42,1:50.35,1:49.03,3/1
106,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,155,2:19.94,,2,,2,西田真樹,,セ・平塚,38.44,,,,,,,,,2:00.42,1:50.35,1:49.03,3/1
107,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,155,2:19.94,,3,,2,木田景子,,セ・平塚,31.20,,,,,,,,,2:00.42,1:50.35,1:49.03,3/1
108,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,120～159歳,155,2:19.94,,4,,2,足立知実,,セ・平塚,34.15,,,,,,,,,2:00.42,1:50.35,1:49.03,3/1
109,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,111,2:04.63,,1,,1,広瀬幸音,,セ・成城,31.55,,,,,,,,,1:57.97,1:49.78,1:50.28,3/6
110,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,111,2:04.63,,2,,1,宮田さくら,,セ・成城,31.55,,,,,,,,,1:57.97,1:49.78,1:50.28,3/6
111,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,111,2:04.63,,3,,1,仲田笑美,,セ・成城,30.03,,,,,,,,,1:57.97,1:49.78,1:50.28,3/6
112,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,111,2:04.63,,4,,1,中畑眸,,セ・成城,31.50,,,,,,,,,1:57.97,1:49.78,1:50.28,3/6
113,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,100,2:06.77,,1,,2,表侑寿,,セ・二俣川,30.54,,,,,,,,,1:57.97,1:49.78,1:50.28,3/5
114,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,100,2:06.77,,2,,2,松本彩花,,セ・二俣川,33.97,,,,,,,,,1:57.97,1:49.78,1:50.28,3/5
